Sr. No,Dataset,Usecase,Use Case Description,Prediction Target,Industry,Deep Learning Problem,Data Type,Problem Type,Business Impact,Hydrogen Torch - Instance Link,Dataset Link,HT Owner,APP,Dataset Source,License,Dataset Description (1 liner),Dataset Details,Model Training,Model Predictions,Dir Link,,,,,Snapshot - Charts,Snapshot - Validation Predictions,Download Logs Zip,Download MLOPS Scoring Pipeline
1,Signature Detection,Signature Detection in Documents,"The signature detection model automates signature detection in large volumes of documents, saving time and reducing errors. It offers a faster and more accurate alternative to manual detection, verifying authenticity, identifying forgeries, and detecting potential fraud",Detect Signatures in Documents using Object Detection Techniques,Banking,Object Detection,Image,Object Detection,"Signature detection in documents has a significant business impact across various industries. In the financial sector, accurate signature detection enables fraud prevention and identity verification, safeguarding transactions and protecting against financial losses. It streamlines the legal industry by simplifying the validation of legal documents, reducing the risk of fraudulent claims, and improving overall efficiency. In healthcare, signature detection ensures proper patient consent verification, enhancing regulatory compliance and patient safety. Additionally, in logistics and supply chain management, signature detection facilitates the verification of delivery receipts and shipping documents, reducing disputes and improving supply chain transparency. Government agencies and administrative departments benefit from signature detection by ensuring the authenticity of official documents, licenses, and permits, improving data integrity and compliance.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/object_detection/signature_object_detection_v2.zip,Shivam,Signature Checker,,,1000 train images with their masks,,,,https://drive.google.com/drive/folders/1J7fqbe7G35jycCDN6QxDKhJ5vPR7XMks?usp=share_link,,,,,,,,
2,Signature Verification,Signature Verification in Documents,"Signature verification model is designed to ensure the authenticity and security of legal, financial, and personal transactions. By accurately identifying and authenticating signatures, this model helps prevent fraud and identity theft.",Accurately identifying and authenticating signatures in documents using object detection techniques,Banking,Metric Learning,Image,Metric Learning,"Signature verification in documents has a profound impact on business operations. In banking and financial services, it strengthens fraud prevention by accurately verifying signatures on checks, contracts, and financial documents, minimizing the risk of unauthorized transactions. The legal sector benefits from streamlined document authentication and integrity, ensuring the validity of legal agreements and reducing legal disputes. Healthcare organizations rely on signature verification to authenticate patient consent forms and medical records, ensuring compliance with regulations and enhancing patient safety. In government agencies, signature verification helps validate important documents, reducing the risk of forgery and ensuring the credibility of administrative processes. Overall, signature verification provides businesses with increased security, improved compliance, and enhanced operational efficiency.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/sign_verification/sign_verification.zip,Shivam,Signature Checker,,,1100 train images with 55 unique labels.,,,,https://drive.google.com/drive/folders/1vNOvBui4T0D6WvrcvaRUEDgvVGmYz0aD?usp=share_link,,,,,,,,
3,Smoke Segmentation,Smoke Segmentation in Images,"This model can accurately identify and segment smoke in images. By distinguishing smoke from other objects and backgrounds, our model helps to improve the accuracy of fire detection systems and enhance safety in various industries, including manufacturing, transportation, and public safety.",Segment the presence and location of smoke within images,AI for Good,Image Segmentation,Image,Segmentation,"Smoke segmentation in images has a profound impact across industries. In the field of fire prevention and safety, accurate smoke segmentation enables early detection and response, enhancing emergency management and minimizing property damage. In industrial settings, smoke segmentation helps monitor the presence of smoke, improving workplace safety and preventing accidents. Environmental agencies benefit from smoke segmentation in the detection and monitoring of wildfires, aiding in timely intervention and minimizing ecological damage. Furthermore, in the field of computer vision and image analysis, smoke segmentation contributes to various applications, including surveillance, image understanding, and object recognition.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/instance_segmentation/bush_fire_image_segment.zip,Shivam,HT,http://wildfire.fesb.hr/index.php?option=com_content&view=article&id=49&Itemid=54,"These datasets are free to use, but if you intend to use them in scientific research, it is necessary to reference this webpage and the Center for Wildfire Research.",64 train images segmented using class_id 'smoke',,,,https://drive.google.com/drive/folders/1GSslUeDnrfm2dCtSlX95lL4WX9uzF53D?usp=share_link,,,,,,,,
4,Smoke Classification,Smoke Classification in Images,"Smoke Classification model can accurately classify smoke. This model is an essential tool for fire safety professionals, allowing them to detect and classify smoke accurately and efficiently.",Classify whether the image has smoke or not,AI for Good,Image Classification,Image,Classification,"Smoke classification in images has wide-ranging business impact. In fire detection systems, accurate smoke classification enhances early warning systems, allowing for prompt response and reducing the risk of fire-related damage. In industrial settings, smoke classification enables proactive monitoring of smoke emissions, ensuring compliance with environmental regulations and promoting sustainable practices. Public safety agencies benefit from smoke classification in surveillance systems, aiding in the identification of potential fire hazards and enhancing emergency response. Additionally, in insurance and risk assessment, smoke classification provides valuable insights for property underwriting and assessing fire-related risks. Overall, smoke classification in images enhances safety measures, regulatory compliance, and risk management.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/image_classification/wildfire_image_classification.zip,Shivam,HT,,,343 images with label  0 or 1 ,,,,https://drive.google.com/drive/folders/1uDdpwW5zWsL6F3dQrRpwOpgct-YfWhU8?usp=share_link,,,,,,,,
5,Underwater Starfish Detection,Underwater Starfish Object Detection,"Underwater Starfish Detection model can accurately detect and classify starfish in underwater images. This model is useful for marine biologists and environmental scientists, helping them to monitor and protect underwater ecosystems.",Detect the starfish using object detection techniques,AI for Good,Object Detection,Image,Object Detection,"Underwater starfish object detection offers valuable business impact. In marine biology and ecological research, accurate detection of starfish species aids in population monitoring, habitat conservation, and understanding ecosystem dynamics. For underwater exploration and mapping, starfish object detection contributes to mapping marine biodiversity, assisting in underwater surveys and conservation efforts. Fisheries management benefits from starfish detection by providing insights into the interactions between starfish and fish populations, informing sustainable fishing practices. Moreover, in the tourism and diving industry, underwater starfish object detection enhances the experience for divers and snorkelers, allowing them to observe and appreciate marine life more effectively. Overall, underwater starfish object detection has implications for ecological research, conservation, fisheries management, and marine tourism.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/object_detection/cots_detection.zip,Shivam,HT,https://www.kaggle.com/datasets/antonsibilev/crownofthorns-starfish,CC0: Public Domain,429 images with their object coordinates,,,,https://drive.google.com/drive/folders/1Oy-KgKg2mGY6fc1BLgG-WQtncddIWWLw?usp=share_link,,,,,,,,
6,Food Classifications,Food Image Classification ,"Our Food Classification model is used  to accurately identify and classify food items in images. This model is useful for food and nutrition professionals, allowing them to analyze and track dietary habits and trends accurately.",Categorize different types of food based on their visual characteristics,FnB,Image Classification,Image,Classification,"Food image classification has significant business impact in the food and beverage industry. It enables automatic categorization and identification of food items, which can be utilized for various purposes. Restaurants and food delivery services can benefit from accurate food image classification to improve menu organization, streamline order processing, and enhance customer experience. Food manufacturers can use this technology to automate quality control processes, ensuring product consistency and reducing errors in packaging and labeling. Additionally, nutrition and diet tracking applications can leverage food image classification to provide users with accurate nutritional information and personalized dietary recommendations.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/image_classification/food_classification.zip,Shivam,HT,https://www.kaggle.com/datasets/trolukovich/food11-image-dataset,CC0: Public Domain,"9866 images with 11 labels. Such as Bread,Dairy product,Dessert,Egg,Fried food,Meat,Noodles-Pasta,Rice, Seafood,Soup,Vegetable-Fruit",,,,https://drive.google.com/drive/folders/1jxH3zJ1ycfRcNjOivpJDw_h_ZgvGW0-5?usp=share_link,,,,,,,,
7,Crack Detection,Surface Crack Classifier,"Our Crack Detection model is used to detect and locate cracks in various surfaces. This model is useful for engineers and maintenance professionals, helping them to monitor and maintain the safety and structural integrity of buildings and infrastructure.",Classify whether the image has crack or not,Manufacturing,Image Classification,Image,Classification,"The surface crack classifier has substantial business impact in industries such as infrastructure, construction, and manufacturing. By automatically identifying and classifying surface cracks on structures, such as buildings, bridges, and pipelines, it aids in proactive maintenance and inspection. This technology enables early detection of cracks, facilitating timely repairs and preventing potential safety hazards. Industries can benefit from cost savings by minimizing the need for manual inspections and conducting targeted maintenance based on the severity and location of the detected cracks. Moreover, it enhances overall infrastructure reliability and safety, ensuring compliance with regulatory standards.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/image_classification/surface-crack-detection_v1.zip,Shivam,...,https://www.kaggle.com/datasets/arunrk7/surface-crack-detection,Data files © Original Authors,36000 train images and 4000 test images with labels postive and negative,,,,https://drive.google.com/drive/folders/1ZU8bNjrPd2RM9QUBV6VRL-BrBwoR4fzy?usp=share_link,,,,,,,,
8,Brain MRI,Brain Tumor Classification,"Brain MRI classification model uses deep learning algorithms to accurately classify MRI scans of the brain, detecting and classifying abnormalities such as tumors, hemorrhages, and other anomalies in brain tissue. It is an essential tool for healthcare professionals concerned with diagnosing and treating brain-related disorders, providing fast and accurate analysis of brain MRI scans to improve patient outcomes and enhance the efficiency of healthcare systems.",Predict the type of tumor based on medical imaging data,Healthcare,Image Classification,Image,Classification,"Brain tumor classification has significant implications in the healthcare industry. It plays a crucial role in early detection, diagnosis, and treatment planning for brain tumors. By accurately classifying brain tumor images, healthcare professionals can make informed decisions about the appropriate course of treatment, leading to improved patient outcomes. This technology reduces the time and effort required for manual analysis, enabling healthcare providers to prioritize and allocate resources effectively. It also contributes to research and advancements in brain tumor treatment, aiding in the development of personalized therapies and improving overall patient care.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/image_classification/brain-tumor-classification-mri-v2.zip,Shivam,HT,https://www.kaggle.com/datasets/sartajbhuvaji/brain-tumor-classification-mri,CC0: Public Domain,"2870 images with 4 labels.Such as pituitary_tumor,no_tumor,meningioma_tumor,glioma_tumor",,,,https://drive.google.com/drive/folders/1gEGS9-iASfdBLHj-pCI1q-DIPuPi2NY2?usp=share_link,,,,,,,,
9,Road Quality Classification,Road Quality Classification ,"The Road Quality Classification model is used to automatically classify road quality based on image, which can be used for road maintenance planning and improving safety. It provides a cost-effective and efficient solution for monitoring road conditions on a large scale.",Classify the roads based on their quality,AI for Good,Image Classification,Image,Classification,"Road quality classification has a substantial impact on transportation and infrastructure management. By automatically assessing the quality of road surfaces, this technology helps transportation authorities identify areas that require maintenance or repairs. It enables efficient resource allocation, ensuring that limited funds are directed towards the most critical areas. Road quality classification contributes to safer and smoother travel experiences, reducing vehicle damage and minimizing accidents caused by poor road conditions. Additionally, it supports urban planning efforts by providing valuable data on road infrastructure conditions, enabling authorities to make informed decisions regarding road improvement projects.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/image_classification/road_image_sih_classification.zip,Shivam,HT,,,"1659 images with 4 labels.Such as good,poor,very_poor,satisfactory",,,,https://drive.google.com/drive/folders/1agWLssH4-wIdEMBZCHzI41crov3wzyB-?usp=share_link,,,,,,,,
10,Satellite imagery - (Map Challenge),Building Segmentation in images,"The Building Segmentation in Satellite Images model uses image segmentation techniques to accurately identify and delineate buildings in satellite imagery. The model can be trained on large datasets of satellite images with labeled building boundaries to learn to recognize building features such as roofs, walls, and windows. Once trained, the model can quickly and accurately segment buildings in new satellite images, making it a valuable tool for applications such as urban planning, disaster response, and environmental monitoring. By automating the process of building segmentation, this model can save time and resources compared to traditional manual method",Segmenting Buildings in Satellite Images,AI for Good,Object Detection,Image,Object Detection,"Building segmentation in images has significant implications in the fields of architecture, real estate, and urban planning. By automatically segmenting buildings in images, this technology assists in architectural design and visualization, allowing architects and designers to create accurate 3D models and renderings. Real estate professionals can leverage building segmentation to identify property boundaries, evaluate property features, and enhance marketing materials. Urban planners can utilize this technology to analyze building density, monitor urban growth, and make informed decisions regarding zoning and land use. Building segmentation contributes to more efficient urban development and improved decision-making processes in the built environment.",https://internal.dedicated.h2o.ai/instance/0a4c15f7-2e86-424c-b40a-ef2a94dab930/,s3://apac-cds/ht_datasets/object_detection/mapping_challenge_v2.zip,Shivam,HT,https://www.kaggle.com/datasets/kmader/synthetic-word-ocr,Unknown,8366 train images with their object coordinates,,,,https://drive.google.com/drive/folders/1xKaaxHBbyjs43xl5exA1eZ_o38iPhFMH?usp=share_link,,,,,,,,
