2023-06-18 16:04:28,922 - INFO: Starting Hydrogen Torch v1.2.0
2023-06-18 16:04:28,999 - INFO: <pre>Sun Jun 18 16:04:28 2023       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 515.86.01    Driver Version: 515.86.01    CUDA Version: 11.7     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Tesla V100-SXM2...  Off  | 00000000:00:1E.0 Off |                    0 |
| N/A   45C    P0    26W / 300W |      2MiB / 16384MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
</pre>
2023-06-18 16:04:28,999 - INFO: Global random seed: 450843
2023-06-18 16:04:29,000 - INFO: Preparing the data...
2023-06-18 16:04:29,000 - INFO: Setting up cross-validation...
2023-06-18 16:04:29,300 - INFO: Running k-fold setup...
2023-06-18 16:04:54,018 - INFO: Preparing train and validation data
2023-06-18 16:04:54,018 - INFO: Loading train dataset...
2023-06-18 16:04:56,789 - INFO: Validating doc_stride...
2023-06-18 16:04:58,331 - INFO: Tokenizing text...
2023-06-18 16:05:05,741 - INFO: Loading validation dataset...
2023-06-18 16:05:10,297 - INFO: Validating doc_stride...
2023-06-18 16:05:10,699 - INFO: Tokenizing text...
2023-06-18 16:05:12,756 - INFO: Number of observations in train dataset: 27973
2023-06-18 16:05:12,766 - INFO: Number of observations in validation dataset: 7026
2023-06-18 16:05:12,776 - INFO: Epoch: 1 / 2
2023-06-18 16:05:12,776 - INFO: train loss:   0%|          | 0/1748 [00:00<?, ?it/s]
2023-06-18 16:05:23,171 - INFO: train loss: 2.68:   5%|4         | 87/1748 [00:10<03:18,  8.37it/s]
2023-06-18 16:05:33,176 - INFO: train loss: 2.34:  10%|9         | 174/1748 [00:20<03:03,  8.56it/s]
2023-06-18 16:05:43,195 - INFO: train loss: 2.32:  15%|#4        | 261/1748 [00:30<02:52,  8.62it/s]
2023-06-18 16:05:53,157 - INFO: train loss: 2.28:  20%|#9        | 348/1748 [00:40<02:41,  8.66it/s]
2023-06-18 16:06:03,273 - INFO: train loss: 2.46:  25%|##4       | 435/1748 [00:50<02:31,  8.64it/s]
2023-06-18 16:06:13,297 - INFO: train loss: 2.48:  30%|##9       | 522/1748 [01:00<02:21,  8.65it/s]
2023-06-18 16:06:23,297 - INFO: train loss: 2.41:  35%|###4      | 609/1748 [01:10<02:11,  8.67it/s]
2023-06-18 16:06:33,277 - INFO: train loss: 2.30:  40%|###9      | 696/1748 [01:20<02:01,  8.68it/s]
2023-06-18 16:06:43,285 - INFO: train loss: 2.41:  45%|####4     | 783/1748 [01:30<01:51,  8.69it/s]
2023-06-18 16:06:53,306 - INFO: train loss: 2.10:  50%|####9     | 870/1748 [01:40<01:41,  8.69it/s]
2023-06-18 16:07:03,432 - INFO: train loss: 2.25:  55%|#####4    | 957/1748 [01:50<01:31,  8.66it/s]
2023-06-18 16:07:13,413 - INFO: train loss: 2.27:  60%|#####9    | 1044/1748 [02:00<01:21,  8.67it/s]
2023-06-18 16:07:23,444 - INFO: train loss: 2.18:  65%|######4   | 1131/1748 [02:10<01:11,  8.67it/s]
2023-06-18 16:07:33,411 - INFO: train loss: 2.11:  70%|######9   | 1218/1748 [02:20<01:00,  8.69it/s]
2023-06-18 16:07:43,504 - INFO: train loss: 2.02:  75%|#######4  | 1305/1748 [02:30<00:51,  8.67it/s]
2023-06-18 16:07:53,544 - INFO: train loss: 2.24:  80%|#######9  | 1392/1748 [02:40<00:41,  8.67it/s]
